Question,Answer,idx,topic
What is (are) Dementia - home care ? (Also called: Caring for someone with dementia; Home care - dementia),"Dementia is a loss of brain function that occurs with certain diseases. It affects memory, thinking, and behavior.) ",1129,4
What is (are) Dementia - home care ? (Also called: Caring for someone with dementia; Home care - dementia),"A loved one with dementia will need support in the home as the disease gets worse. You can help by trying to understand how the person with dementia perceives his or her world. Give the person a chance to talk about any challenges and take part in his or her own daily care.  Start by talking with your loved one's health care provider. Ask how you can:  - Help the person stay calm and oriented  - Make dressing and grooming easier  - Talk to the person  - Help with memory loss  - Manage behavior and sleep problems   Tips for reducing confusion in people with dementia include:  - Have familiar objects and people around.  - Keep lights on at night.  - Use reminders, notes, lists of routine tasks, or directions for daily activities.  - Stick to a simple activity schedule.    Taking regular walks with a caregiver can help improve communication skills and prevent wandering.  Calming music may reduce wandering and restlessness, ease anxiety, and improve sleep and behavior.  People with dementia should have their eyes and ears checked. If problems are found, hearing aids, glasses, or cataract surgery may be needed.  People with dementia should also have regular driving tests. At some point, it won't be safe for them to continue to drive. This may not be an easy conversation, so seek help from their provider and other family members. State laws vary on the ability of a person with dementia to continue to drive.  Supervised meals can help with feeding. People with dementia often forget to eat and drink, and can become dehydrated as a result. Talk to the provider about the need for extra calories due to increased physical activity from restlessness and wandering.  Also talk to the provider about:  - Watching for risk of choking and what to do if choking occurs  - How to increase safety in the home  - How to prevent falls  - Ways to improve bathroom safety    The Alzheimer's Association's Safe Return Program requires people with dementia to wear an identification bracelet. If they wander, their caregiver can contact the police and the national Safe Return office, where information about them is stored and shared nationwide.  Eventually, people with dementia may need 24-hour monitoring and assistance to provide a safe environment, control aggressive or agitated behavior, and meet their needs.  LONG-TERM CARE  A person with dementia may need monitoring and help at home or in an institution. Possible options include:  - Adult day care  - Boarding homes  - Nursing homes  - In-home care    Many organizations are available to help you care for a person with dementia. They include:  - Adult protective services  - Community resources  - Local or state government departments of aging  - Visiting nurses or aides  - Volunteer services    In some communities, dementia-related support groups may be available. Family counseling can help family members cope with home care.  Advance directives, power of attorney, and other legal actions may make it easier to decide on care for the person with dementia. Seek legal advice early, before the person is unable to make these decisions.  There are support groups that can provide information and resources for people with Alzheimer disease and their caregivers.) ",1130,4
What is (are) Acquired hemophilia ? (Also called: Acquired haemophilia),"Acquired hemophilia is a bleeding disorder that interferes with the body's blood clotting process. Although the condition can affect people of all ages, it generally occurs in older people (the median age of diagnosis is between 60 and 67 years). Signs and symptoms include prolonged bleeding, frequent nosebleeds, bruising throughout the body, solid swellings of congealed blood (hematomas), hematuria, and gastrointestinal or urologic bleeding. Acquired hemophilia occurs when the body's immune system attacks and disables a certain protein that helps the blood clot. About half of the cases are associated with other conditions, such as pregnancy, autoimmune disease, cancer, skin diseases, or allergic reactions to medications. Treatment is aimed at controlling bleeding episodes and addressing the underlying cause of the condition.) ",1131,0
What is (are) Acquired hemophilia A ? (Also called: Acquired factor 8 deficiency; Acquired factor VII deficiency; Hemophilia),"Acquired hemophilia A is a bleeding disorder that interferes with the body's blood clotting process. Although the condition can affect people of all ages, it generally occurs in older people (the median age of diagnosis is between 60 and 67 years). Signs and symptoms include prolonged bleeding, frequent nosebleeds, bruising throughout the body, solid swellings of congealed blood (hematomas), hematuria, and gastrointestinal or urologic bleeding. Acquired hemophilia A occurs when the body's immune system attacks and disables a certain protein that helps the blood clot (called coagulation factor VIII). About half of the cases are associated with other conditions, such as pregnancy, autoimmune disease, cancer, skin diseases, or allergic reactions to medications. Treatment is aimed at controlling bleeding episodes and addressing the underlying cause of the condition.) ",1132,0
What is (are) Down syndrome ? (Also called: Trisomy 21; Down's syndrome),"Down syndrome is a chromosome disorder associated with intellectual disability, a characteristic facial appearance, and low muscle tone in infancy. The degree of intellectual disability varies from mild to moderate. People with Down syndrome may also be born with various health concerns such as heart defects or digestive abnormalities. They also have an increased risk to develop gastroesophageal reflux, celiac disease, hypothyroidism, hearing and vision problems, leukemia, and Alzheimer disease. Down syndrome is caused by having three copies of chromosome 21 (called trisomy 21) instead of the usual two copies and is typically not inherited. Treatment focuses on the specific symptoms in each person.) ",1133,10
What are the symptoms of Down syndrome ? (Also called: Trisomy 21; Down's syndrome),"What are the signs and symptoms of Down syndrome? People with Down syndrome may develop the following medical problems:  Congenital hypothyroidism Hearing loss Congenital heart defects Seizures Vision disorders Decreased muscle tone (hypotonia) Children with Down syndrome are also more likely to develop chronic respiratory infections, middle ear infections, and recurrent tonsillitis. In addition, there is a higher incidence of pneumonia in children with Down syndrome than in the general population. Children with Down syndrome have developmental delay. They are often slow to turn over, sit, and stand. Developmental delay may be related to the child's weak muscle tone. Development of speech and language may also take longer than expected. Children with Down syndrome may take longer than other children to reach their developmental milestones, but many of these milestones will eventually be met. Adults with Down syndrome have an increased risk of developing Alzheimer disease, a brain disorder that results in a gradual loss of memory, judgment, and ability to function. Although Alzheimer disease is usually a disorder that occurs in older adults, about half of adults with Down syndrome develop this condition by age 50. The Human Phenotype Ontology provides the following list of signs and symptoms for Down syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Acute megakaryocytic leukemia - Aganglionic megacolon - Anal atresia - Atlantoaxial instability - Brachycephaly - Broad palm - Brushfield spots - Complete atrioventricular canal defect - Conductive hearing impairment - Duodenal stenosis - Epicanthus - Flat face - Hypoplastic iliac wing - Hypothyroidism - Intellectual disability - Joint laxity - Macroglossia - Malar flattening - Microtia - Muscular hypotonia - Myeloproliferative disorder - Protruding tongue - Shallow acetabular fossae - Short middle phalanx of the 5th finger - Short palm - Short stature - Single transverse palmar crease - Sporadic - Thickened nuchal skin fold - Upslanted palpebral fissure - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.) ",1134,8
What causes Down syndrome ? (Also called: Trisomy 21; Down's syndrome),"What causes Down syndrome? There are 3 possible genetic causes of Down syndrome: Trisomy 21. Most often, Down syndrome is caused by an extra chromosome 21 in all cells of the affected person.  In these cases, the chromosome 21 pair fails to separate during the formation of an egg (or sperm); this is called ""nondisjunction."" When the egg with 2 copies of chromosome 21 unites with a normal sperm with one copy of chromosome 21 to form an embryo, the resulting embryo has 3 copies of chromosome 21 instead of the normal two. The extra chromosome is then copied in every cell of the baby's body, causing the features of Down syndrome. The cause of nondisjunction is unknown, but research has shown that it happens more often as women age. Nondisjunction is not known to be caused by anything in the environment or anything that parents do (or don't do) before or during pregnancy. Mosaic trisomy 21. In about 1-2% of cases, only some of the cells in a person's body have an extra chromosome 21; this is called ""mosaic trisomy 21"".  In this situation, the fertilized egg may have the right number of chromosomes, but due to a cell division error early in the development of the embryo, some cells ""acquire"" an extra chromosome 21. A person with mosaic trisomy 21 typically has 46 chromosomes in some cells, and 47 chromosomes (with the extra chromosome 21) in others. The features and severity in people with mosaic trisomy 21 may vary widely.  Translocation trisomy 21. About 3-4% of people with Down syndrome have cells that contain 46 chromosomes; however, there is extra chromosome 21 material attached (translocated ) onto another chromosome.  For parents of a child with Down syndrome due to a translocation, there may be an increased chance of Down syndrome in future pregnancies. This is because one of the two parents may be a carrier of a balanced translocation. However, not all parents of people with translocation trisomy 21 have a translocation. Regardless of the type of Down syndrome a person has, all people with Down syndrome have an extra, critical portion of chromosome 21 present in all or some of their cells. This extra genetic material disrupts the normal course of development, causing the characteristic features of Down syndrome.) ",1135,7
"What are the genetic changes related to Down syndrome ? (Also called: 47,XX,+21; 47,XY,+21; Down's syndrome; trisomy 21; trisomy G)","Most cases of Down syndrome result from trisomy 21, which means each cell in the body has three copies of chromosome 21 instead of the usual two copies.  Less commonly, Down syndrome occurs when part of chromosome 21 becomes attached (translocated) to another chromosome during the formation of reproductive cells (eggs and sperm) in a parent or very early in fetal development. Affected people have two normal copies of chromosome 21 plus extra material from chromosome 21 attached to another chromosome, resulting in three copies of genetic material from chromosome 21. Affected individuals with this genetic change are said to have translocation Down syndrome.  A very small percentage of people with Down syndrome have an extra copy of chromosome 21 in only some of the body's cells. In these people, the condition is called mosaic Down syndrome.  Researchers believe that having extra copies of genes on chromosome 21 disrupts the course of normal development, causing the characteristic features of Down syndrome and the increased risk of health problems associated with this condition.) ",1136,7
"Is Down syndrome inherited ? (Also called: 47,XX,+21; 47,XY,+21; Down's syndrome; trisomy 21; trisomy G)","Most cases of Down syndrome are not inherited. When the condition is caused by trisomy 21, the chromosomal abnormality occurs as a random event during the formation of reproductive cells in a parent. The abnormality usually occurs in egg cells, but it occasionally occurs in sperm cells. An error in cell division called nondisjunction results in a reproductive cell with an abnormal number of chromosomes. For example, an egg or sperm cell may gain an extra copy of chromosome 21. If one of these atypical reproductive cells contributes to the genetic makeup of a child, the child will have an extra chromosome 21 in each of the body's cells.  People with translocation Down syndrome can inherit the condition from an unaffected parent. The parent carries a rearrangement of genetic material between chromosome 21 and another chromosome. This rearrangement is called a balanced translocation. No genetic material is gained or lost in a balanced translocation, so these chromosomal changes usually do not cause any health problems. However, as this translocation is passed to the next generation, it can become unbalanced. People who inherit an unbalanced translocation involving chromosome 21 may have extra genetic material from chromosome 21, which causes Down syndrome.  Like trisomy 21, mosaic Down syndrome is not inherited. It occurs as a random event during cell division early in fetal development. As a result, some of the body's cells have the usual two copies of chromosome 21, and other cells have three copies of this chromosome.) ",1137,7
What is (are) Dementia - home care ? (Also called: Caring for someone with dementia; Home care - dementia),"Dementia is a loss of brain function that occurs with certain diseases. It affects memory, thinking, and behavior.) ",1138,4
What is (are) Dementia - home care ? (Also called: Caring for someone with dementia; Home care - dementia),"A loved one with dementia will need support in the home as the disease gets worse. You can help by trying to understand how the person with dementia perceives his or her world. Give the person a chance to talk about any challenges and take part in his or her own daily care.  Start by talking with your loved one's health care provider. Ask how you can:  - Help the person stay calm and oriented  - Make dressing and grooming easier  - Talk to the person  - Help with memory loss  - Manage behavior and sleep problems   Tips for reducing confusion in people with dementia include:  - Have familiar objects and people around.  - Keep lights on at night.  - Use reminders, notes, lists of routine tasks, or directions for daily activities.  - Stick to a simple activity schedule.    Taking regular walks with a caregiver can help improve communication skills and prevent wandering.  Calming music may reduce wandering and restlessness, ease anxiety, and improve sleep and behavior.  People with dementia should have their eyes and ears checked. If problems are found, hearing aids, glasses, or cataract surgery may be needed.  People with dementia should also have regular driving tests. At some point, it won't be safe for them to continue to drive. This may not be an easy conversation, so seek help from their provider and other family members. State laws vary on the ability of a person with dementia to continue to drive.  Supervised meals can help with feeding. People with dementia often forget to eat and drink, and can become dehydrated as a result. Talk to the provider about the need for extra calories due to increased physical activity from restlessness and wandering.  Also talk to the provider about:  - Watching for risk of choking and what to do if choking occurs  - How to increase safety in the home  - How to prevent falls  - Ways to improve bathroom safety    The Alzheimer's Association's Safe Return Program requires people with dementia to wear an identification bracelet. If they wander, their caregiver can contact the police and the national Safe Return office, where information about them is stored and shared nationwide.  Eventually, people with dementia may need 24-hour monitoring and assistance to provide a safe environment, control aggressive or agitated behavior, and meet their needs.  LONG-TERM CARE  A person with dementia may need monitoring and help at home or in an institution. Possible options include:  - Adult day care  - Boarding homes  - Nursing homes  - In-home care    Many organizations are available to help you care for a person with dementia. They include:  - Adult protective services  - Community resources  - Local or state government departments of aging  - Visiting nurses or aides  - Volunteer services    In some communities, dementia-related support groups may be available. Family counseling can help family members cope with home care.  Advance directives, power of attorney, and other legal actions may make it easier to decide on care for the person with dementia. Seek legal advice early, before the person is unable to make these decisions.  There are support groups that can provide information and resources for people with Alzheimer disease and their caregivers.) ",1139,4
What is (are) Vascular dementia ? (Also called: MID; Dementia - multi-infarct; Dementia - post-stroke; Multi-infarct dementia),"Dementia is a gradual and permanent loss of brain function that occurs with certain diseases. It affects memory, thinking, language, judgment, and behavior.  Vascular dementia is caused by a series of small strokes over a long period. Vascular dementia is also called multi-infarct dementia.) ",1140,3
What are the symptoms of Vascular dementia ? (Also called: MID; Dementia - multi-infarct; Dementia - post-stroke; Multi-infarct dementia),"Symptoms of vascular dementia may develop gradually or may progress after each small stroke.  Symptoms may begin suddenly after each stroke. Some people with vascular dementia may improve for short periods, and then decline after having more silent strokes.  Early symptoms of dementia can include:  - Difficulty performing tasks that used to come easily, such as balancing a checkbook, playing games (such as bridge), and learning new information or routines  - Getting lost on familiar routes  - Language problems, such as trouble finding the name of familiar objects  - Losing interest in things you previously enjoyed, flat mood  - Misplacing items  - Personality changes and loss of social skills    As dementia worsens, symptoms are more obvious and the ability to take care of oneself declines. Symptoms may include:  - Change in sleep patterns, often waking up at night  - Difficulty doing basic tasks, such as preparing meals, choosing proper clothing, or driving  - Forgetting details about current events  - Forgetting events in your own life history, losing awareness of who you are  - Having delusions, depression, or agitation  - Having hallucinations, arguments, striking out, or violent behavior  - Having more difficulty reading or writing  - Having poor judgment and loss of ability to recognize danger  - Using the wrong word, not pronouncing words correctly, or speaking in confusing sentences  - Withdrawing from social contact    Nervous system (neurologic) problems that occur with a stroke may also be present.) ",1141,8
What are the complications of Vascular dementia ? (Also called: MID; Dementia - multi-infarct; Dementia - post-stroke; Multi-infarct dementia),"Complications include the following:  - Future strokes  - Heart disease  - Loss of ability to function or care for self  - Loss of ability to interact  - Pneumonia, urinary tract infections, skin infections  - Pressure sores) ",1142,0
Do I need to see a doctor for Vascular dementia ? (Also called: MID; Dementia - multi-infarct; Dementia - post-stroke; Multi-infarct dementia),Call the health care provider if symptoms of vascular dementia occur. Go to the emergency room or call the local emergency number (such as 911) if there is a sudden change in mental status. This is an emergency symptom of stroke.) ,1143,8
How to prevent Vascular dementia ? (Also called: MID; Dementia - multi-infarct; Dementia - post-stroke; Multi-infarct dementia),Control conditions that increase the risk of hardening of the arteries (atherosclerosis) by:  - Controlling high blood pressure  - Controlling weight  - Reducing saturated fats and salt in the diet  - Treating related disorders) ,1144,0
"What is (are) Frontotemporal dementia ? (Also called: Dementia, frontotemporal, with parkinsonism; Frontotemporal dementia with parkinsonism; Frontotemporal lobe dementia (FLDEM); MSTD; Multiple system tauopathy with presenile dementia; Pick's disease; Primary progressive aphasia; Semantic dementia)","Frontotemporal dementia describes a group of conditions associated with shrinking of the frontal and temporal anterior lobes of the brain. Symptoms include either variable changes in behavior (e.g., impulsive, bored, listless, lack of social contact, lack of empathy, distractibility, blunted emotions, compulsive behavior, decreased energy and motivation) or problems with language (e.g., difficulty making or understanding speech). Spatial skills and memory remain intact. There is a strong genetic component to the disease; it often runs in families. There is no cure for frontotemporal dementia at this time, as a result treatment remains supportive. Although the name and classification of FTD has been a topic of discussion for over a century, the current classification of the syndrome groups together Picks disease, primary progressive aphasia, and semantic dementia as FTD. Some doctors propose adding corticobasal degeneration and progressive supranuclear palsy to FTD and calling the group Pick Complex. You can click on the links to view the GARD pages on these conditions.) ",1145,3
Is CHMP2B-related frontotemporal dementia inherited ? (Also called: chromosome 3-linked frontotemporal dementia; DTM1; FTD-3; FTD-CHMP2B; FTD3),"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.) ",1146,7
What causes Vascular dementia ? (Also called: MID; Dementia - multi-infarct; Dementia - post-stroke; Multi-infarct dementia),"Vascular dementia is the second most common cause of dementia after Alzheimer disease in people over age 65. MID usually affects people between ages 55 and 75. More men than women have vascular dementia.  Vascular dementia is caused by a series of small strokes.  - A stroke is an interruption in or blockage of the blood supply to any part of the brain. A stroke is also called an infarct. Multi-infarct means that more than one area in the brain has been injured due to a lack of blood.  - If blood flow is stopped for longer than a few seconds, the brain cannot get oxygen. Brain cells can die, causing permanent damage.  - When these strokes affect a small area, there may be no symptoms of a stroke. These are called silent strokes. Over time, as more areas of the brain are damaged, the symptoms of dementia appear.  - Not all strokes are silent. Larger strokes that affect strength, sensation, or other brain and nervous system (neurologic) function can also lead to dementia.    Risk factors for vascular dementia include:  - Diabetes  - Hardening of the arteries (atherosclerosis)  - High blood pressure (hypertension)  - Smoking  - Stroke   Symptoms of dementia may also be caused by other types of disorders of the brain. One such disorder is Alzheimer disease. Symptoms of Alzheimer disease can be similar to those of vascular dementia. Vascular dementia and Alzheimer disease are the most common causes of dementia, and may occur together.) ",1147,3
Is Alzheimer disease inherited ? (Also called: AD; Alzheimer dementia (AD); Alzheimer sclerosis; Alzheimer syndrome; Alzheimer-type dementia (ATD); Alzheimer's Disease; DAT; familial Alzheimer disease (FAD); Presenile and senile dementia; Primary Senile Degenerative Dementia; SDAT),"The early-onset form of Alzheimer disease is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person inherits the altered gene from one affected parent.  The inheritance pattern of late-onset Alzheimer disease is uncertain. People who inherit one copy of the APOE e4 allele have an increased chance of developing the disease; those who inherit two copies of the allele are at even greater risk. It is important to note that people with the APOE e4 allele inherit an increased risk of developing Alzheimer disease, not the disease itself. Not all people with Alzheimer disease have the e4 allele, and not all people who have the e4 allele will develop the disease.) ",1148,4
Is CHMP2B-related frontotemporal dementia inherited ? (Also called: chromosome 3-linked frontotemporal dementia; DTM1; FTD-3; FTD-CHMP2B; FTD3),"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.) ",1149,7
Is frontotemporal dementia with parkinsonism-17 inherited ? (Also called: DDPAC; disinhibition-dementia-parkinsonism-amytrophy complex; familial Pick's disease; FTDP-17; Wilhelmsen-Lynch disease),"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.) ",1150,7
What is (are) Dementia ?,"Dementia is not a specific disease. It is a descriptive term for a collection of symptoms that can be caused by a number of disorders that affect the brain. People with dementia have significantly impaired intellectual functioning that interferes with normal activities and relationships. They also lose their ability to solve problems and maintain emotional control, and they may experience personality changes and behavioral problems, such as agitation, delusions, and hallucinations. While memory loss is a common symptom of dementia, memory loss by itself does not mean that a person has dementia. Doctors diagnose dementia only if two or more brain functions - such as memory and language skills -- are significantly impaired without loss of consciousness. Some of the diseases that can cause symptoms of dementia are Alzheimers disease, vascular dementia, Lewy body dementia, frontotemporal dementia, Huntingtons disease, and Creutzfeldt-Jakob disease. Doctors have identified other conditions that can cause dementia or dementia-like symptoms including reactions to medications, metabolic problems and endocrine abnormalities, nutritional deficiencies, infections, poisoning, brain tumors, anoxia or hypoxia (conditions in which the brains oxygen supply is either reduced or cut off entirely), and heart and lung problems. Although it is common in very elderly individuals, dementia is not a normal part of the aging process.) ",1151,3
What is (are) Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),"With pediatric sleep apnea, a child's breathing pauses during sleep because the airway has become narrowed or partly blocked.) ",1152,1
What causes Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),"During sleep, all of the muscles in the body become more relaxed. This includes the muscles that help keep the throat open so air can flow into the lungs.  Normally, the throat remains open enough during sleep to let air pass by. However, some children have a narrow throat. This is often this is because of large tonsils or adenoids, which partially block the airflow. When the muscles in their upper throat relax during sleep, the tissues close in and block the airway. This stop in breathing is called apnea.  Other factors that also may increase the risk of sleep apnea in children include:  - A small jaw  - Certain shapes of the roof of the mouth (palate)   - Large tongue, which may fall back and block the airway  - Obesity  - Poor muscle tone due to conditions such as Down syndrome or cerebral palsy) ",1153,6
What are the symptoms of Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),"Loud snoring is a telltale symptom of sleep apnea. Snoring is caused by air squeezing through the narrowed or blocked airway. However, not every child who snores has sleep apnea.  Children with sleep apnea also have the following symptoms at night:  - Long silent pauses in breathing followed by snorts, choking, and gasps for air  - Breathing mainly though the mouth   - Restless sleep  - Waking up often  - Sleepwalking   - Sweating  - Bedwetting   During the daytime, children with sleep apnea may:  - Feel sleepy or drowsy throughout the day   - Act grumpy, impatient, or irritable  - Have trouble concentrating in school  - Have hyperactive behavior) ",1154,8
What is the outlook for Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),"In most cases, treatment completely relieves symptoms and problems from sleep apnea.) ",1155,1
What are the complications of Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),Untreated pediatric sleep apnea may lead to:  - High blood pressure  - Heart or lung problems  - Slow growth and development) ,1156,0
Do I need to see a doctor for Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),"Call a health care provider if:  - You notice symptoms of sleep apnea in your child  - Symptoms don't improve with treatment, or new symptoms develop) ",1157,8
What is (are) Central sleep apnea ? (Also called: Sleep apnea - central),Central sleep apnea is a sleep disorder in which breathing stops over and over during sleep.) ,1158,1
What causes Central sleep apnea ? (Also called: Sleep apnea - central),"Central sleep apnea results when the brain temporarily stops sending signals to the muscles that control breathing.   The condition often occurs in people who have certain medical problems. For example, it can develop insomeone who hasa problem with the brainstem, which controls breathing.  Conditions that can cause or lead to central sleep apnea include:  - Problems that affect the brainstem (the brainstem controls breathing) including brain infection, stroke, or conditions of the cervical spine (neck)  - Parkinson disease  - Obesity  - Certain medicines,such as narcotic painkillers  - Heart failure   If the apnea is not associated with another disease, it is called idiopathic central sleep apnea.  A condition called Cheyne-Stokes respiration can mimic central sleep apnea. This involves breathing to a variable depth, usually while sleeping.  Central sleep apnea is not the same as obstructive sleep apnea. With obstructive sleep apnea, breathing stops and starts because the airway is narrowed or blocked. But a person can have both conditions, such as with a medical problem called obesity hypoventilation syndrome.) ",1159,1
What are the treatments for Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric),"Surgery to remove the tonsils and adenoids often cures the condition in children.  If needed, surgery also may be used to:  - Remove extra tissue at the back of the throat  - Correct problems with the structures in the face  - Create an opening in the windpipe to bypass the blocked airway if there are physical problems    Sometimes, surgery is not recommended or does not help. In that case, your child my use a continuous positive airway pressure (CPAP) device.  - The child wears a mask over their nose during sleep.  - The mask is connected by a hose to a small machine that sits at the side of the bed.  - The machine pumps air under pressure through the hose and mask and into the airway during sleep. This helps keep the airway open.    It can take some time to get used to sleeping using CPAP therapy. Good follow-up and support from a sleep center can help your child overcome any problems using CPAP.  Other treatments may include:  - Inhaled nasal steroids.  - Dental device. This is inserted into the mouth during sleep to keep the jaw forward and the airway open.  - Weight loss, for overweight children.) ",1160,4
What is (are) Sleep Apnea ?,Espaol,1161,9
What is (are) Sleep Apnea ?,"Sleep apnea is a common sleep disorder characterized by brief interruptions of breathing during sleep. These episodes usually last 10 seconds or more and occur repeatedly throughout the night. People with sleep apnea will partially awaken as they struggle to breathe, but in the morning they will not be aware of the disturbances in their sleep. The most common type of sleep apnea is obstructive sleep apnea (OSA), caused by relaxation of soft tissue in the back of the throat that blocks the passage of air. Central sleep apnea (CSA) is caused by irregularities in the brains normal signals to breathe. Most people with sleep apnea will have a combination of both types. The hallmark symptom of the disorder is excessive daytime sleepiness. Additional symptoms of sleep apnea include restless sleep, loud snoring (with periods of silence followed by gasps), falling asleep during the day, morning headaches, trouble concentrating, irritability, forgetfulness, mood or behavior changes, anxiety, and depression. Not everyone who has these symptoms will have sleep apnea, but it is recommended that people who are experiencing even a few of these symptoms visit their doctor for evaluation. Sleep apnea is more likely to occur in men than women, and in people who are overweight or obese.) ",1162,1
Do you have information about Uvulopalatopharyngoplasty (UPPP) (Also called: Palate surgery; Uvulopalatal flap procedure; UPPP; Laser-assisted uvulopalaplasty; Radiofrequency palatoplasty; Velopharyngeal insufficiency - UPPP; Obstructive sleep apnea - uvulopalaplasty; OSA - uvulopalaplasty),Uvulopalatopharyngoplasty (UPPP) is surgery to open the upper airways by taking out extra tissue in the throat. It may be done to treat mild obstructive sleep apnea (OSA) or severe snoring.,1163,8
Do you have information about Bowel transit time,Bowel transit time refers to how long it takes for the food to move from the mouth to the end of the intestine (anus).  This article talks about the medical test used to determine bowel transit time.,1164,9
Do you have information about Day to day with COPD (Also called: COPD - day to day; Chronic obstructive airways disease - day to day; Chronic obstructive lung disease - day to day; Chronic bronchitis - day to day; Emphysema - day to day; Bronchitis - chronic - day to day),"Your doctor gave you the news: you have COPD. There is no cure, but there are things you can do every day to keep COPD from getting worse, to protect your lungs, and to stay healthy.",1165,6
What is (are) Diarrhea - overview ? (Also called: Stools - watery; Frequent bowel movements; Loose bowel movements),Diarrhea is when you pass loose or watery stool.) ,1166,10
What is (are) Make time to move ? (Also called: Exercise - time to move; Weight loss - time to move; Obesity - time to move),"Experts recommend getting at least 30 minutes of moderate exercise most days of the week. If you have a busy schedule, this may seem like a lot. But there are many ways to add exercise to even the busiest schedule.) ",1167,6
Do you have information about Time out,"""Time out"" is a technique some parents and teachers use when a child misbehaves. It involves the child leaving the environment and activities where the inappropriate behavior occurred, and going to a specific place for a set amount of time. During time out, the child is expected to be quiet and think about their behavior.  Time out is an effective disciplinary technique that does not use physical punishment. Professionals report that NOT physically punishing children may help them learn that physical violence or inflicting physical pain does NOT bring desired results.  Children learn to avoid time out by stopping the behaviors that have caused time outs, or warnings of time outs, in the past.",1168,6
What is (are) medium-chain acyl-CoA dehydrogenase deficiency ? (Also called: ACADM deficiency; MCAD deficiency; MCADD; MCADH deficiency; medium chain acyl-CoA dehydrogenase deficiency; medium-chain acyl-coenzyme A dehydrogenase deficiency),"Medium-chain acyl-CoA dehydrogenase (MCAD) deficiency is a condition that prevents the body from converting certain fats to energy, particularly during periods without food (fasting).  Signs and symptoms of MCAD deficiency typically appear during infancy or early childhood and can include vomiting, lack of energy (lethargy), and low blood sugar (hypoglycemia). In rare cases, symptoms of this disorder are not recognized early in life, and the condition is not diagnosed until adulthood. People with MCAD deficiency are at risk of serious complications such as seizures, breathing difficulties, liver problems, brain damage, coma, and sudden death.  Problems related to MCAD deficiency can be triggered by periods of fasting or by illnesses such as viral infections. This disorder is sometimes mistaken for Reye syndrome, a severe disorder that may develop in children while they appear to be recovering from viral infections such as chicken pox or flu. Most cases of Reye syndrome are associated with the use of aspirin during these viral infections.) ",1169,3
How many people are affected by medium-chain acyl-CoA dehydrogenase deficiency ? (Also called: ACADM deficiency; MCAD deficiency; MCADD; MCADH deficiency; medium chain acyl-CoA dehydrogenase deficiency; medium-chain acyl-coenzyme A dehydrogenase deficiency),"In the United States, the estimated incidence of MCAD deficiency is 1 in 17,000 people. The condition is more common in people of northern European ancestry than in other ethnic groups.) ",1170,3
