,sentence_Question,sentence_Answer,topic,sentiment
663,"what to do for foot, leg, and ankle swelling.",painless swelling may affect both legs and may include the calves or even the thighs. the effect of gravity makes the swelling most noticeable in the lower part of the body.),1,1
664,"what causes foot, leg, and ankle swelling.","foot, leg, and ankle swelling is common when the person also: - is overweight - has a blood clot in the leg - is older - has a leg infection - has veins in the legs that cannot properly pump blood back to the heart injury or surgery involving the leg, ankle, or foot can also cause swelling. swelling may also occur after pelvic surgery, especially for cancer. long airplane flights or car rides, as well as standing for long periods of time, often lead to some swelling in the feet and ankles. swelling may occur in women who take estrogen, or during parts of the menstrual cycle. most women have some swelling during pregnancy. more severe swelling during pregnancy may be a sign of preeclampsia, a serious condition that includes high blood pressure and swelling. swollen legs may be a sign of heart failure, kidney failure, or liver failure. in these conditions, there is too much fluid in the body. certain medicines may also cause your legs to swell. some of these are: - antidepressants, including mao inhibitors and tricyclics - blood pressure medicines called calcium channel blockers - hormones, such as estrogen.  and testosterone - steroids)",1,0
665,"what to do for foot, leg, and ankle swelling.","some tips that may help reduce swelling: - put your legs on pillows to raise them above your heart while lying down. - exercise your legs. this helps pump fluid from your legs back to your heart. - follow a low-salt diet, which may reduce fluid buildup and swelling. - wear support stockings.. - when traveling, take breaks often to stand up and move around. - avoid wearing tight clothing or garters around your thighs. - lose weight if you need to. never stop taking any medicines you think may be causing swelling without first talking to your health care provider.)",1,2
666,"do i need to see a doctor foot, leg, and ankle swelling.","call 911 if: - you feel short of breath. - you have chest pain, especially if it feels like pressure or tightness. call your provider right away if: - you have heart disease or kidney disease and the swelling gets worse. - you have a history of liver disease and now have swelling in your legs or abdomen. - your swollen foot or leg is red or warm to the touch. - you have a fever. - you are pregnant and have more than just mild swelling or have a sudden increase in swelling. also call your provider if self-care measures do not help or swelling gets worse.)",1,0
667,"what is the outlook for foot, leg, and ankle swelling.","your provider will take a medical history and do a thorough physical examination, paying special attention to your heart, lungs, abdomen, lymph nodes, legs, and feet. your provider will ask questions like the following: - what body parts swell? your ankles, feet, legs? above the knee or below? - do you have swelling at all times or is it worse in the morning or evening? - what makes your swelling better? - what makes your swelling worse? - does the swelling get better when you raise your legs? - have you had blood clots in your legs or lungs? - have you had varicose veins? - what other symptoms do you have? diagnostic tests that may be done include: - blood tests such as a cbc or blood chemistry - chest x-ray or extremity x-ray - doppler ultrasound examination of your leg veins - ecg - urinalysis your treatment will focus on the cause of the swelling. your provider may prescribe diuretics to reduce the swelling, but these can have side effects. home treatment for leg swelling that is not related to a serious medical condition should be tried before drug therapy.)",1,2
668,what is.  fungal arthritis.,fungal arthritis swelling and irritation.  of a joint by a fungal infection. it is also called mycotic arthritis.),2,0
669,what causes fungal arthritis.,"fungal arthritis a rare condition. it can be caused by any of the invasive types of fungi. the infection can result from an infection in another organ, such as the lungs. people with weakened immune systems who travel or live in areas where the fungi are common, are more susceptible to most causes of fungal arthritis. conditions that can cause fungal arthritis include: - blastomycosis - candiasis - coccidioidomycosis - cryptoccosis - histoplasmosis - sporotrichosis - exserohilum rostratum.",2,0
670,what are the symptoms of fungal arthritis.,"the fungus can affect bone or joint tissue. one or more joints can be affected, most often the large, weight-bearing joints, such as the knees. symptoms may include any of the following: - fever - joint pain - joint stiffness - joint swelling - swelling of the ankles, feet, and legs)",1,0
671,what are the treatments for fungal arthritis.,the goal of treatment is to cure the infection using antifungal drugs. commonly used antifungal drugs are amphotericin b or drugs in the azole family.. chronic or advanced bone or joint infection may require surgery.  to remove the infected tissue.),3,0
672,how to prevent fungal arthritis.,thorough treatment of fungal infections elsewhere in the body may help prevent fungal arthritis.),1,2
673,what is.  psoriatic arthritis.,psoriatic arthritis a joint problem.  that often occurs with a skin condition called psoriasis.),2,0
674,what are the symptoms of psoriatic arthritis.,"the arthritis may be mild and involve only a few joints. the joints at the end of the fingers or toes may be more affected. in some people the disease may be severe and affect many joints, including the spine. symptoms in the spine include stiffness, burning, and pain. they most often occur in the lower spine and sacrum. most of the time, people with psoriatic arthritis have the skin and nail changes of psoriasis. often, the skin gets worse at the same time as the arthritis.)",2,0
675,what are the symptoms of reactive arthritis.,"urinary symptoms will appear within days or weeks of an infection. these symptoms may include: - burning when urinating - fluid leaking from the urethra.  - problems starting or continuing a urine stream - needing to urinate more often than normal a low fever along with eye discharge, burning, or redness.  can develop over the next several weeks. joint pain and stiffness also begins during this time period. the arthritis may be mild or severe. arthritis symptoms may include: - heel pain or pain the achilles tendon - pain the hip, knee, ankle, and low back - pain that affects only one side of the body or more than one joint symptoms may include skin sores on the palms and soles that look like psoriasis. there may also be small, painless ulcers in the mouth, tongue, and penis.)",1,0
676,what are the symptoms of rheumatoid arthritis.,"most of the time, ra affects joints on both sides of the body equally. wrists, fingers, knees, feet, and ankles are the most commonly affected. the disease often begins slowly. early symptoms may include minor joint pain, stiffness, and fatigue. joint symptoms may include: - morning stiffness, which lasts more than 1 hour, is common. joints may feel warm, tender, and stiff when not used for an hour. - joint pain is often felt on the same joint on both sides of the body. - over time, joints may lose their range of motion and may become deformed. other symptoms include: - chest pain when taking a breath.  - dry eyes and mouth.  - eye burning, itching, and discharge - nodules under the skin.  - numbness, tingling, or burning in the hands and feet - sleep difficulties)",1,0
677,what is.  septic arthritis.,septic arthritis inflammation of a joint due to a bacterial or fungal infection. septic arthritis that is due to the bacteria that cause gonorrhea has different symptoms and is also called gonoccal arthritis.),2,1
678,what are the symptoms of septic arthritis.,"symptoms usually come on quickly. there is a fever and joint swelling that is usually in just one joint. there is also intense joint pain, which gets worse with movement. symptoms in newborns or infants: - crying when infected joint is moved.  - fever - not able to move the limb with the infected joint.  - fussiness symptoms in children and adults: - not able to move the limb with the infected joint.  - severe joint pain - joint swelling - joint redness - fever chills may occur, but are uncommon.)",1,0
679,what are the symptoms of viral arthritis.,the main symptoms are joint pain and swelling of 1 or more joints.),1,0
680,what is.  arthritis ?,"if you feel pain and stiffness in your body or have trouble moving around, you might have arthritis. most kinds of arthritis cause pain and swelling in your joints. joints are places where two bones meet, such as your elbow or knee. over time, a swollen joint can become severely damaged. some kinds of arthritis can also cause problems in your organs, such as your eyes or skin. types of arthritis include - osteoarthritis the most common type of arthritis. it's often related to aging or to an injury. - autoimmune arthritis happens when your body's immune system attacks healthy cells in your body by mistake. rheumatoid arthritis the most common form of this kind of arthritis. - juvenile arthritis a type of arthritis that happens in children. - infectious arthritis an infection that has spread from another part of the body to the joint. - psoriatic arthritis affects people with psoriasis. - gout is a painful type of arthritis that happens when too much uric acid builds up in the body. it often starts in the big toe. nih: national institute of arthritis and musculoskeletal and skin diseases)",2,0
681,what is.  infectious arthritis.,"most kinds of arthritis cause pain and swelling in your joints. joints are places where two bones meet, such as your elbow or knee. infectious arthritis an infection in the joint. the infection comes from a bacterial, viral, or fungal infection that spreads from another part of the body. symptoms of infectious arthritis include - intense pain the joint - joint redness and swelling - chills and fever - inability to move the area with the infected joint one type of infectious arthritis reactive arthritis. the reaction is to an infection somewhere else in your body. the joint is usually the knee, ankle, or toe. sometimes, reactive arthritis set off by an infection in the bladder, or in the urethra, which carries urine out of the body. in women, an infection in the vagina can cause the reaction. for both men and women, it can start with bacteria passed on during sex. another form of reactive arthritis starts with eating food or handling something that has bacteria on it. to diagnose infectious arthritis, your health care provider may do tests of your blood, urine, and joint fluid. treatment includes medicines and sometimes surgery.)",1,0
682,what are the symptoms of rheumatoid arthritis ?,"swelling and pain the joints different types of arthritis have different symptoms. in general, people with most forms of arthritis have pain and stiffness in their joints. rheumatoid arthritis characterized by inflammation of the joint ling. this inflammation causes warmth, redness, swelling, and pain around the joints. a person also feels sick, tired, and sometimes feverish. rheumatoid arthritis generally occurs in a symmetrical pattern. if one knee or hand is affected, the other one is also likely to be affected. diagnostic tests rheumatoid arthritis can be difficult to diagnose in its early stages for several reasons. there is no single test for the disease. in addition, symptoms differ from person to person and can be more severe in some people than in others. common tests for rheumatoid arthritis include - the rheumatoid factor test. rheumatoid factor is an antibody that is present eventually in the blood of most people with rheumatoid arthritis however, not all people with rheumatoid arthritis test positive for rheumatoid factor, especially early in the disease. also, some people who do test positive never develop the disease. - the citrulline antibody test. this blood test detects antibodies to cyclic citrullinated peptide.. this test is positive in most people with rheumatoid arthritis and can even be positive years before rheumatoid arthritis symptoms develop. when used with the rheumatoid factor test, the citrulline antibody test results are very useful in confirming a rheumatoid arthritis diagnosis. other common tests for rheumatoid arthritis include - the erythrocyte sedimentation rate, which indicates the presence of inflammation in the body - a test for white blood cell count and - a blood test for anemia. the erythrocyte sedimentation rate, which indicates the presence of inflammation in the body a test for white blood cell count and a blood test for anemia. diagnosis can take time symptoms of rheumatoid arthritis can be similar to those of other types of arthritis and joint conditions, and it may take some time to rule out other conditions. the full range of symptoms develops over time, and only a few symptoms may be present in the early stages. learn more about how rheumatoid arthritis diagnosed.)",2,2
683,what are the symptoms of rheumatoid arthritis ?,"rheumatoid arthritis characterized by inflammation of the joint ling. this inflammation causes warmth, redness, swelling, and pain around the joints. the pain of rheumatoid arthritis varies greatly from person to person, for reasons that doctors do not yet understand completely. factors that contribute to the pain include swelling within the joint, the amount of heat or redness present, or damage that has occurred within the joint.)",1,0
684,do you have information about diet - clear liquid.,"a clear liquid diet is made up of only clear fluids and foods that turn to clear fluids when they are at room temperature. it includes things such as: - clear broth - tea - cranberry juice - jell-o - popsicles this diet is easier to digest than other foods. it still gives you the important fluids, salts, and minerals that you need for energy. eating only a clear liquid diet gives you enough nutrition for 3 to 4 days. it is safe for people with diabetes, but only for a short time when they are followed closely by their doctor.",3,2
685,do i need to see a doctor facial swelling.,"call your health care provider if you have: - sudden, painful, or severe facial swelling - facial swelling that lasts a while, particularly if it is getting worse over time - difficulty breathing - fever, tenderness, or redness, which suggests infection)",1,0
686,"what is.  foot, leg, and ankle swelling.","painless swelling of the feet and ankles is a common problem, especially among older people. abnormal buildup of fluid in the ankles, feet, and legs can cause swelling. this fluid buildup and swelling is called edema.)",1,0
687,"what to do for foot, leg, and ankle swelling.",painless swelling may affect both legs and may include the calves or even the thighs. the effect of gravity makes the swelling most noticeable in the lower part of the body.),1,1
688,"what causes foot, leg, and ankle swelling.","foot, leg, and ankle swelling is common when the person also: - is overweight - has a blood clot in the leg - is older - has a leg infection - has veins in the legs that cannot properly pump blood back to the heart injury or surgery involving the leg, ankle, or foot can also cause swelling. swelling may also occur after pelvic surgery, especially for cancer. long airplane flights or car rides, as well as standing for long periods of time, often lead to some swelling in the feet and ankles. swelling may occur in women who take estrogen, or during parts of the menstrual cycle. most women have some swelling during pregnancy. more severe swelling during pregnancy may be a sign of preeclampsia, a serious condition that includes high blood pressure and swelling. swollen legs may be a sign of heart failure, kidney failure, or liver failure. in these conditions, there is too much fluid in the body. certain medicines may also cause your legs to swell. some of these are: - antidepressants, including mao inhibitors and tricyclics - blood pressure medicines called calcium channel blockers - hormones, such as estrogen.  and testosterone - steroids)",1,0
689,"what to do for foot, leg, and ankle swelling.","some tips that may help reduce swelling: - put your legs on pillows to raise them above your heart while lying down. - exercise your legs. this helps pump fluid from your legs back to your heart. - follow a low-salt diet, which may reduce fluid buildup and swelling. - wear support stockings.. - when traveling, take breaks often to stand up and move around. - avoid wearing tight clothing or garters around your thighs. - lose weight if you need to. never stop taking any medicines you think may be causing swelling without first talking to your health care provider.)",1,2
690,"do i need to see a doctor foot, leg, and ankle swelling.","call 911 if: - you feel short of breath. - you have chest pain, especially if it feels like pressure or tightness. call your provider right away if: - you have heart disease or kidney disease and the swelling gets worse. - you have a history of liver disease and now have swelling in your legs or abdomen. - your swollen foot or leg is red or warm to the touch. - you have a fever. - you are pregnant and have more than just mild swelling or have a sudden increase in swelling. also call your provider if self-care measures do not help or swelling gets worse.)",1,0
691,"what is the outlook for foot, leg, and ankle swelling.","your provider will take a medical history and do a thorough physical examination, paying special attention to your heart, lungs, abdomen, lymph nodes, legs, and feet. your provider will ask questions like the following: - what body parts swell? your ankles, feet, legs? above the knee or below? - do you have swelling at all times or is it worse in the morning or evening? - what makes your swelling better? - what makes your swelling worse? - does the swelling get better when you raise your legs? - have you had blood clots in your legs or lungs? - have you had varicose veins? - what other symptoms do you have? diagnostic tests that may be done include: - blood tests such as a cbc or blood chemistry - chest x-ray or extremity x-ray - doppler ultrasound examination of your leg veins - ecg - urinalysis your treatment will focus on the cause of the swelling. your provider may prescribe diuretics to reduce the swelling, but these can have side effects. home treatment for leg swelling that is not related to a serious medical condition should be tried before drug therapy.)",1,2
692,what is.  high blood pressure - what to ask your doctor.,"when your heart pumps blood into your arteries, the pressure of the blood against the artery walls is called your blood pressure. your blood pressure is given as two numbers: systolic over diastolic blood pressure. your systolic blood pressure is the highest blood pressure during the course of your heart beat cycle. your diastolic blood pressure is the lowest pressure. when your blood pressure gets too high, it puts extra stress on your heart and blood vessels. if your blood pressure stays high all the time, you will be at a higher risk for heart attacks, strokes, kidney disease, and other health problems. watch this video about: blood pressure below are questions you may want to ask your health care provider to help you take care of your blood pressure.)",4,0
693,what is.  hypersensitivity vasculitis.,"hypersensitivity vasculitis an extreme reaction to a drug, infection, or foreign substance. it leads to inflammation and damage to blood vessels, primarily in the skin.)",0,0
694,what causes hypersensitivity vasculitis.,"hypersensitivity vasculitis caused by an allergic reaction to a drug or other foreign substance. it can also be a reaction to an infection. most often it affects people older than age 15. often, the cause of the problem cannot be found even with a careful study of medical history. hypersensitivity vasculitis may look like necrotizing vasculitis, which can affect blood vessels throughout the body.)",4,0
695,what are the symptoms of hypersensitivity vasculitis.,"symptoms may include: - new rash over large areas - purple-colored spots and patches on the skin - skin sores mostly located on the legs, buttocks, or trunk - blisters on the skin - hives. , may last longer than 24 hours - open sores with dead tissue.",6,0
696,what are the complications of hypersensitivity vasculitis.,complications may include: - lasting damage to the blood vessels or skin with scarring - inflamed blood vessels affecting the internal organs),4,0
697,do i need to see a doctor for hypersensitivity vasculitis.,call your provider if you have symptoms of hypersensitivity vasculitis.),0,0
698,how to prevent hypersensitivity vasculitis.,do not take medicines which have caused an allergic reaction in the past.),0,0
699,what are the symptoms of necrotizing vasculitis.,"fever, chills, fatigue, arthritis, or weight loss may be the only symptoms at first. however, symptoms may be in almost any part of the body. skin: - red or purple colored bumps on the legs, hands or other parts of the body - bluish color to the fingers and toes - signs of tissue death due to lack of oxygen such as pain, redness, and ulcers that do not heal muscles and joints: - joint pain - leg pain - muscle weakness brain and nervous system: - pain, numbness, tingling in arm, leg, or other body area - weakness of an arm, leg, or other body area - pupils that are different sizes - eyelid drooping - swallowing difficulty - speech impairment - movement difficulty lungs and respiratory tract: - cough - shortness of breath - sinus congestion and pain - coughing up blood or bleeding from the nose other symptoms include: - abdominal pain - blood in the urine or stools - painful menstruation - hoarseness or changing voice - chest pain from damage of the arteries that supply the heart.",1,0
700,what are the symptoms of temporal arteritis.,"some common symptoms of this problem are: - throbbing headache one side of the head or the back of the head - tenderness when touching the scalp other symptoms may include: - fever - general ill feeling - jaw pain that occurs when chewing - pain the arm after using it - muscle aches - pain and stiffness in the neck, upper arms, shoulder, and hips - weakness, excessive tiredness problems with eyesight may occur, and at times may begin suddenly. these problems include: - blurred vision - double vision - reduced vision.  other symptoms may occur with this disease, including: - cough - tongue or throat pain - hearing loss - joint stiffness)",1,0
701,do i need to see a doctor for vomiting blood.,call your health care provider or go the emergency room if vomiting of blood occurs. you will need to be examined right away.),3,2
702,what are the treatments for hidradenocarcinoma.,"how might hidradenocarcinoma be treated? because hidradenocarcinoma is quite rare, there are no established guidelines for treatment. treatment is determined by the size and location of each particular cancer and the extent to which cancer cells may have spread to nearby lymph nodes or tissues. surgery is often the first step and aims to remove as much of the cancer as possible. both a traditional surgical technique, known as wide local excision, and the newer mohs micrographic surgery have been used to remove hidradenocarcinomas. radiation therapy, performed by a doctor known as radiation oncologist, has been used after surgery in patients with hidradenocarcinoma to destroy any cancer cells that may remain at the original location of the tumor in the lymph nodes. chemotherapy, performed by a doctor known as a medical oncologist, has not yet been proven as effective treatment for hidradenocarcinomas.)",5,0
703,what are the treatments for hypersensitivity vasculitis.,"the goal of treatment is to reduce inflammation. your provider may prescribe aspirin, nonsteroidal anti-inflammatory drugs. , or corticosteroids to reduce inflammation of the blood vessels.. your provider will tell you to stop taking medicines that could be causing this condition.)",3,0
704,what are the symptoms of vasculitis ?,"the signs and symptoms of vasculitis vary. they depend on the type of vasculitis you have, the organs involved, and the severity of the condition. some people may have few signs and symptoms. other people may become very sick.",2,0
705,what is.  giant cell arteritis ?,"giant cell arteritis a disorder that causes inflammation of your arteries, usually in the scalp, neck, and arms. it narrows the arteries, which keeps blood from flowing well. giant cell arteritis often occurs with another disorder called polymyalgia rheumatica. both are more common in women than in men. they almost always affect people over the age of 50. early symptoms of giant cell arteritis resemble the flu: fatigue, loss of appetite, and fever. other symptoms include - headaches - pain and tenderness over the temples - double vision or visual loss, dizziness - problems with coordination and balance - pain your jaw and tongue your doctor will make the diagnosis based on your medical history, symptoms, and a physical exam. there is no single test to diagnose giant cell arteritis, but you may have tests that measure inflammation. treatment is usually with corticosteroids. early treatment is important; otherwise there is a risk of permanent vision loss or stroke. however, when properly treated, giant cell arteritis rarely comes back. nih: national institute of arthritis and musculoskeletal and skin diseases)",5,0
706,where to find support for people with allergies ?,ask your health care provider if there any asthma and allergy support groups in your area.),3,2
707,what is.  chronic pain - resources.,the following organizations are good resources for information chronic pain: - american chronic pain association - w. theacpa. org - national fibromyalgia and chronic pain association - w. fmcpaware. org - national institute of neurological disorders and stroke - w. ninds. nih. gov/disorders/chronic_pain. htm - national center for complementary and integrative health - nccih. nih. gov/health/providers/digest/chronic-pain),3,0
708,do i need to see a doctor fibromyalgia.,call your health care provider if you have symptoms of fibromyalgia.),5,2
709,what is.  low back pain - chronic.,"low back pain refers to pain that you feel in your lower back. you may also have back stiffness, decreased movement of the lower back, and difficulty standing straight. low back pain that is long-term is called chronic low back pain.)",1,0
710,what causes low back pain - chronic.,"low back pain is common. almost everyone has back pain at some time in their life. often, the exact cause of the pain cannot be found. a single event may not have caused your pain. you may have been doing many activities, such as lifting the wrong way, for a long time. then suddenly, one simple movement, such as reaching for something or bending from your waist, leads to pain. many people with chronic back pain have arthritis. or they may have extra wear and tear of the spine, which may be due to: - heavy use from work or sports - injuries or fractures - surgery you may have had a herniated disk, in which part of the spinal disk pushed onto nearby nerves. normally, the disks provide space and cushion in your spine. if these disks dry out and become thinner and more brittle, you can lose movement in the spine over time. if the spaces between the spinal nerves and spinal cord become narrowed, this can lead to spinal stenosis. these problems are called degenerative joint or spine disease. other possible causes of chronic low back pain include: - curvature of the spine, such as scoliosis or kyphosis - medical problems, such as fibromyalgia or rheumatoid arthritis - piriformis syndrome, a pain disorder involving a muscle in the buttocks called the piriformis muscle you are at greater risk for low back pain if you: - are over age 30 - are overweight - are pregnant - do not exercise - feel stressed or depressed - have a job in which you have to do heavy lifting, bending and twisting, or that involves whole body vibration, such as truck driving or using a sandblaster - smoke)",4,0
711,what are the symptoms of low back pain - chronic.,"symptoms may include any of the following: - dull aching pain - sharp pain - tingling or burning sensation - weakness in your legs or feet low back pain can differ from person to person. the pain may be mild, or it can be so severe that you cannot move. depending on the cause of your back pain, you may also have pain your leg, hip, or on the bottom of your foot.)",1,0
712,how to diagnose low back pain - chronic.,"during the physical exam, the health care provider will try to pinpoint the location of the pain and figure out how it affects your movement. other tests you have depend on your medical history and symptoms. tests may include: - blood tests, such as a complete blood count and erythrocyte sedimentation rate - ct scan of the lower spine - mri scan of the lower spine - myelogram.  - x-ray)",0,0
713,what are the treatments for low back pain - chronic.,"your back pain may not go away completely, or it may get more painful at times. learn to take care of your back at home and how to prevent repeat episodes of back pain. this can help you continue with your normal activities. your doctor may recommend measures to reduce your pain, including: - a back brace to support your back - cold packs and heat therapy - traction - physical therapy, involving stretching and strengthening exercises - counseling to learn ways to understand manage your pain these other health care providers may also help: - massage therapist - someone who performs acupuncture - someone who does spinal manipulation.  if need, your doctor may prescribe medicines to help with your back pain: - aspirin, naproxen. , or ibuprofen. , which you can buy without a prescription - low doses of prescription medicines - narcotics or opioids when the pain is severe if your pain does not improve with medicine, physical therapy, and other treatments, your doctor may recommend an epidural injection. spinal surgery is considered only if you have nerve damage or the cause of the back pain does not heal after a long time. in some patients, a spinal cord stimulator can help reduce back pain. other treatments that may be recommended if your pain does not improve with medicine and physical therapy include: - spinal surgery, only if you have nerve damage or the cause of your pain does not heal after a long time - spinal cord stimulation, in which a small device sends an electric current to the spine to block pain signals some people with low back pain may also need: - job changes - job counseling - job retraing - occupational therapy)",1,0
714,what is the outlook for low back pain - chronic.,most back problems get better on their own. follow your provider's advice on treatment and self-care measures.),1,0
715,do i need to see a doctor for low back pain - chronic.,"call your provider if you have severe back pain that does not go away. call right away if you have numbness, loss of movement, weakness, or bowel or bladder changes.)",1,0
716,what is.  managing your chronic back pain ?,"managing chronic pain means finding ways to make your back pain tolerable so you can live your life. you may not be able to get rid of your pain completely, but you can change some things that worsen your pain. these things are called stressors. some of them may be physical, like the chair you sit in at work. some may be emotional, like a difficult relationship. reducing stress can improve your physical and emotional health. it is not always easy to reduce stress, but is easier if you are able to ask your friends and family for help.)",0,0
717,where to find support for people with vitiligo ?,- american vitiligo research foundation - w. avrf. org - national vitiligo foundation - w. nvfi. org - vitiligo. support. com - w. vitiligosupport. org),4,2
718,what is.  chronic pain ?,"pain is a feeling set off in the nervous system. acute pain lets you know that you may be injured or have a problem you need to take care of. chronic pain is different. the pain signals go on for weeks, months, or even years. the original cause may have been an injury or infection. there may be an ongoing cause of pain, such as arthritis or cancer. but in some cases there is no clear cause. problems that cause chronic pain include - headache - low back strain - cancer - arthritis - pain from nerve damage chronic pain usually cannot be cured. but treatments can help. they include medicines, acupuncture, electrical stimulation and surgery. other treatments include psychotherapy, relaxation and meditation therapy, biofeedback, and behavior modification. nih: national institute of neurological disorders and stroke)",1,0
719,what is.  chronic pain ?,"while acute pain is a normal sensation triggered in the nervous system to alert you to possible injury and the need to take care of yourself, chronic pain is different. chronic pain persists. pain signals keep firing in the nervous system for weeks, months, even years. there may have been an initial mishap - sprained back, serious infection, or there may be an ongoing cause of pain - arthritis, cancer, ear infection, but some people suffer chronic pain the absence of any past injury or evidence of body damage. many chronic pain conditions affect older adults. common chronic pain complaints include headache, low back pain, cancer pain, arthritis pain, neurogenic pain. , psychogenic pain.. a person may have two or more co-existing chronic pain conditions. such conditions can include chronic fatigue syndrome, endometriosis, fibromyalgia, inflammatory bowel disease, interstial cystis, temporomandibular joint dysfunction, and vulvodynia. it is not known whether these disorders share a common cause.)",1,0
720,what is the outlook for chronic pain ?,many people with chronic pain can be helped if they understand all the causes of pain and the many and varied steps that can be taken to undo what chronic pain has done. scientists believe that advances in neuroscience will lead to more and better treatments for chronic pain the years to come.),1,0
721,what are the symptoms of fibromyalgia.,"pain is the main symptom of fibromyalgia. it may be mild to severe. - painful areas are called tender points. tender points are found in the soft tissue on the back of the neck, shoulders, chest, lower back, hips, shins, elbows, and knees. the pain then spreads out from these areas. - the pain may feel like a deep ache, or a shooting, burning pain. - the joints are not affected, although the pain may feel like it is coming from the joints. people with fibromyalgia tend to wake up with body aches and stiffness. for some people, pain improves during the day and gets worse at night. some people have pain all day long. pain may get worse with activity, cold or damp weather, anxiety, and stress. fatigue, depressed mood, and sleep problems occur in almost all people with fibromyalgia. many people say that they cannot get to sleep or stay asleep, and they feel tired when they wake up. other symptoms of fibromyalgia may include: - irritable bowel syndrome.  - memory and concentration problems - numbness and tingling in hands and feet - reduced ability to exercise - tension or migraine headaches)",0,0
722,what are the treatments for fibromyalgia.,"the goals of treatment are to help relieve pain and other symptoms, and to help a person cope with the symptoms. the first type of treatment may involve: - physical therapy - exercise and fitness program - stress-relief methods, including light massage and relaxation techniques if these treatments do not work, your doctor may prescribe antidepressant or muscle relaxant. - the goal of these medicines is to improve your sleep and help you better tolerate pain. - medicine should be used along with exercise and behavior therapy. - duloxetine. , pregabalin. , and milnacipran.  are drugs that are approved specifically for treating fibromyalgia. other drugs are also used to treat the condition, such as: - anti-seizure drugs, such as gabapentin - other antidepressants, such as amytriptyline - muscle relaxants, such as cyclobenzeprine - pain relievers, but avoid narcotics, since they usually do not help - sleeping aids cognitive-behavioral therapy is an important part of treatment. this therapy helps you learn how to: - deal with negative thoughts - keep a diary of pain and symptoms - recognize what makes your symptoms worse - seek out enjoyable activities - set limits support groups may also be helpful. things you can do to help take care of yourself include: - eat a well-balanced diet. - avoid caffeine. - practice a good sleep routine to improve quality of sleep. - exercise regularly, starting with low-level exercise. - try acupressure and acupuncture treatments. your doctor may refer you to a pain clinic if your condition is severe.)",3,2
723,what is the outlook for fibromyalgia.,"fibromyalgia is a long-term disorder. sometimes, the symptoms improve. other times, the pain may get worse and continue for months or years.)",1,0
724,what is.  burns.,"there are three levels of burns: - first-degree burns affect only the outer layer of the skin. they cause pain, redness, and swelling. - second-degreeburns affect both the outer and underlying layer of skin. they cause pain, redness, swelling, and blistering. they are also called partial thickness burns. - third-degree burns affect the deep layers of skin. they are also called full thickness burns. they cause white or blackened, burned skin. the skin may be numb. burns fall into two groups. minor burns are: - first degree burns anywhere on the body - second degree burns less than 2-3 inches wide major burns include: - third-degree burns - second-degree burns more than 2-3 inches wide - second-degree burnson the hands, feet, face, groin, buttocks, or a major joint you can have more than onetype of burn at a time.)",6,0
725,what to do for burns.,"severe burns need immediate medical care. thiscan help prevent scarring, disability, and deformity. burns on the face, hands, feet, and genitals can be particularly serious. children under age 4 and adults over age 60 have a higher chance of complications and death from severe burns because their skin tends to be thinner than in other age groups.)",6,0
726,what causes burns.,"causes of burns from most to least common are: - fire/flame - scalding from steam or hot liquids - touching hot objects - electrical burns - chemical burns can be the result of: - house and industrial fires - car accidents - playing with matches - faulty space heaters, furnaces, or industrial equipment - unsafe use of firecrackers - kitchen accidents, such as a child grabbing a hot iron or touching the stove this list is not all-inclusive. you can also burn your airways if you breathe in smoke, steam, superheated air, or chemical fumes in poorly ventilated areas.)",1,0
727,what are the symptoms of burns.,"burn symptoms can include: - blisters.  - pain.  - peeling skin - shock.  - swelling - red, white, or charred skin if you have burned your airways, you may have: - burns on the head, face, neck, eyebrows, or nose hairs - burned lips and mouth - coughing - difficulty breathing - dark, black-stained mucus - voice changes - wheezing)",6,0
728,what to do for burns.,"before giving first aid, it is important to determine what type of burn the person has. if you aren't sure, treat it as a major burn. serious burns need immediate medical care. call your local emergency number or 911. minor burns if the skin is unbroken: - run cool water over the area of the burn or soak it in a cool water bath.. keep the area under water for at least 5 minutes. a clean, cold, wet towel will help reduce pain. - calm and reassure the person. - after flushing or soaking the burn, cover it with a dry, sterile bandage or clean dressing. - protect the burn from pressure and friction. - over-the-counter ibuprofen or acetaminophen can help relieve pain and swelling. do not give aspirin to children under 12. - once the skin has cooled, moisturizing lotion also can help. minor burns will usually heal without further treatment. make sure the person is up to date on tetanus immunization. major burns if someone is on fire, tell the person to stop, drop, and roll. then, follow these steps: - wrap the person in thick material; such as a wool or cotton coat, rug, or blanket. this helps put out the flames. - pour water on the person. - call 911 or your local emergency number. - make sure that the person is no longer touching any burning or smoking materials. - do not remove burned clothing that is stuck to the skin. - make sure the person is breathing. if necessary, begin rescue breathing and cpr. - cover the burn area with a dry sterile bandage.  or clean cloth. a sheet will do if the burned area is large. do not apply any ointments. avoid breaking burn blisters. - if fingers or toes have been burned, separate them with dry, sterile, non-sticky bandage. - raise the body part that is burned above the level of the heart. - protect the burn area from pressure and friction. - if an electrical injury may have caused the burn, do not touch the victim directly. use a non-metallic object to move the person away from exposed wires before starting first aid. you will also need to prevent shock. if the person does not have a head, neck, back, or leg injury, follow these steps: - lay the person flat - raise the feet about 12 inches - cover the person with a coat or blanket continue to monitor the person's pulse, rate of breathing, and blood pressure until medical help arrives.)",6,2
